,vignette,sender,infotype,recipient,type
268,a thermostat records video of owner which is sent to its manufacturer,a thermostat,video of owner,its manufacturer,iotNull
269,a thermostat records video of owner which is sent to other devices in the home,a thermostat,video of owner,other devices in the home,iotNull
270,a thermostat records video of owner which is sent to owner's immediate family,a thermostat,video of owner,owner's immediate family,iotNull
271,a thermostat records video of owner which is sent to owner's social media accounts,a thermostat,video of owner,owner's social media accounts,iotNull
272,a thermostat records owner's heart rate which is sent to the local police,a thermostat,owner's heart rate,the local police,iotNull
273,a thermostat records owner's heart rate which is sent to government intelligence agencies,a thermostat,owner's heart rate,government intelligence agencies,iotNull
274,a thermostat records owner's heart rate which is sent to owner's doctor,a thermostat,owner's heart rate,owner's doctor,iotNull
275,a thermostat records owner's heart rate which is sent to an Internet service provider,a thermostat,owner's heart rate,an Internet service provider,iotNull
276,a thermostat records owner's heart rate which is sent to its manufacturer,a thermostat,owner's heart rate,its manufacturer,iotNull
277,a thermostat records owner's heart rate which is sent to other devices in the home,a thermostat,owner's heart rate,other devices in the home,iotNull
278,a thermostat records owner's heart rate which is sent to owner's immediate family,a thermostat,owner's heart rate,owner's immediate family,iotNull
279,a thermostat records owner's heart rate which is sent to owner's social media accounts,a thermostat,owner's heart rate,owner's social media accounts,iotNull
280,a thermostat records the times it is used which is sent to the local police,a thermostat,the times it is used,the local police,iotNull
281,a thermostat records the times it is used which is sent to government intelligence agencies,a thermostat,the times it is used,government intelligence agencies,iotNull
282,a thermostat records the times it is used which is sent to owner's doctor,a thermostat,the times it is used,owner's doctor,iotNull
283,a thermostat records the times it is used which is sent to an Internet service provider,a thermostat,the times it is used,an Internet service provider,iotNull
284,a thermostat records the times it is used which is sent to its manufacturer,a thermostat,the times it is used,its manufacturer,iotNull
285,a thermostat records the times it is used which is sent to other devices in the home,a thermostat,the times it is used,other devices in the home,iotNull
286,a thermostat records the times it is used which is sent to owner's immediate family,a thermostat,the times it is used,owner's immediate family,iotNull
287,a thermostat records the times it is used which is sent to owner's social media accounts,a thermostat,the times it is used,owner's social media accounts,iotNull
288,a fitness tracker records owner's location which is sent to the local police,a fitness tracker,owner's location,the local police,iotNull
289,a fitness tracker records owner's location which is sent to government intelligence agencies,a fitness tracker,owner's location,government intelligence agencies,iotNull
290,a fitness tracker records owner's location which is sent to owner's doctor,a fitness tracker,owner's location,owner's doctor,iotNull
291,a fitness tracker records owner's location which is sent to an Internet service provider,a fitness tracker,owner's location,an Internet service provider,iotNull
292,a fitness tracker records owner's location which is sent to its manufacturer,a fitness tracker,owner's location,its manufacturer,iotNull
293,a fitness tracker records owner's location which is sent to other devices in the home,a fitness tracker,owner's location,other devices in the home,iotNull
294,a fitness tracker records owner's location which is sent to owner's immediate family,a fitness tracker,owner's location,owner's immediate family,iotNull
295,a fitness tracker records owner's location which is sent to owner's social media accounts,a fitness tracker,owner's location,owner's social media accounts,iotNull
296,a fitness tracker records owner's eating habits which is sent to the local police,a fitness tracker,owner's eating habits,the local police,iotNull
297,a fitness tracker records owner's eating habits which is sent to government intelligence agencies,a fitness tracker,owner's eating habits,government intelligence agencies,iotNull
298,a fitness tracker records owner's eating habits which is sent to owner's doctor,a fitness tracker,owner's eating habits,owner's doctor,iotNull
299,a fitness tracker records owner's eating habits which is sent to an Internet service provider,a fitness tracker,owner's eating habits,an Internet service provider,iotNull
300,a fitness tracker records owner's eating habits which is sent to its manufacturer,a fitness tracker,owner's eating habits,its manufacturer,iotNull
301,a fitness tracker records owner's eating habits which is sent to other devices in the home,a fitness tracker,owner's eating habits,other devices in the home,iotNull
302,a fitness tracker records owner's eating habits which is sent to owner's immediate family,a fitness tracker,owner's eating habits,owner's immediate family,iotNull
303,a fitness tracker records owner's eating habits which is sent to owner's social media accounts,a fitness tracker,owner's eating habits,owner's social media accounts,iotNull
304,a fitness tracker records the times owner is home which is sent to the local police,a fitness tracker,the times owner is home,the local police,iotNull
305,a fitness tracker records the times owner is home which is sent to government intelligence agencies,a fitness tracker,the times owner is home,government intelligence agencies,iotNull
306,a fitness tracker records the times owner is home which is sent to owner's doctor,a fitness tracker,the times owner is home,owner's doctor,iotNull
307,a fitness tracker records the times owner is home which is sent to an Internet service provider,a fitness tracker,the times owner is home,an Internet service provider,iotNull
308,a fitness tracker records the times owner is home which is sent to its manufacturer,a fitness tracker,the times owner is home,its manufacturer,iotNull
309,a fitness tracker records the times owner is home which is sent to other devices in the home,a fitness tracker,the times owner is home,other devices in the home,iotNull
310,a fitness tracker records the times owner is home which is sent to owner's immediate family,a fitness tracker,the times owner is home,owner's immediate family,iotNull
311,a fitness tracker records the times owner is home which is sent to owner's social media accounts,a fitness tracker,the times owner is home,owner's social media accounts,iotNull
312,a fitness tracker records owner's exercise routine which is sent to the local police,a fitness tracker,owner's exercise routine,the local police,iotNull
313,a fitness tracker records owner's exercise routine which is sent to government intelligence agencies,a fitness tracker,owner's exercise routine,government intelligence agencies,iotNull
314,a fitness tracker records owner's exercise routine which is sent to owner's doctor,a fitness tracker,owner's exercise routine,owner's doctor,iotNull
315,a fitness tracker records owner's exercise routine which is sent to an Internet service provider,a fitness tracker,owner's exercise routine,an Internet service provider,iotNull
316,a fitness tracker records owner's exercise routine which is sent to its manufacturer,a fitness tracker,owner's exercise routine,its manufacturer,iotNull
317,a fitness tracker records owner's exercise routine which is sent to other devices in the home,a fitness tracker,owner's exercise routine,other devices in the home,iotNull
318,a fitness tracker records owner's exercise routine which is sent to owner's immediate family,a fitness tracker,owner's exercise routine,owner's immediate family,iotNull
319,a fitness tracker records owner's exercise routine which is sent to owner's social media accounts,a fitness tracker,owner's exercise routine,owner's social media accounts,iotNull
320,a fitness tracker records owner's sleeping habits which is sent to the local police,a fitness tracker,owner's sleeping habits,the local police,iotNull
321,a fitness tracker records owner's sleeping habits which is sent to government intelligence agencies,a fitness tracker,owner's sleeping habits,government intelligence agencies,iotNull
322,a fitness tracker records owner's sleeping habits which is sent to owner's doctor,a fitness tracker,owner's sleeping habits,owner's doctor,iotNull
323,a fitness tracker records owner's sleeping habits which is sent to an Internet service provider,a fitness tracker,owner's sleeping habits,an Internet service provider,iotNull
324,a fitness tracker records owner's sleeping habits which is sent to its manufacturer,a fitness tracker,owner's sleeping habits,its manufacturer,iotNull
325,a fitness tracker records owner's sleeping habits which is sent to other devices in the home,a fitness tracker,owner's sleeping habits,other devices in the home,iotNull
326,a fitness tracker records owner's sleeping habits which is sent to owner's immediate family,a fitness tracker,owner's sleeping habits,owner's immediate family,iotNull
327,a fitness tracker records owner's sleeping habits which is sent to owner's social media accounts,a fitness tracker,owner's sleeping habits,owner's social media accounts,iotNull
328,a fitness tracker records audio of owner which is sent to the local police,a fitness tracker,audio of owner,the local police,iotNull
329,a fitness tracker records audio of owner which is sent to government intelligence agencies,a fitness tracker,audio of owner,government intelligence agencies,iotNull
330,a fitness tracker records audio of owner which is sent to owner's doctor,a fitness tracker,audio of owner,owner's doctor,iotNull
331,a fitness tracker records audio of owner which is sent to an Internet service provider,a fitness tracker,audio of owner,an Internet service provider,iotNull
332,a fitness tracker records audio of owner which is sent to its manufacturer,a fitness tracker,audio of owner,its manufacturer,iotNull
333,a fitness tracker records audio of owner which is sent to other devices in the home,a fitness tracker,audio of owner,other devices in the home,iotNull
334,a fitness tracker records audio of owner which is sent to owner's immediate family,a fitness tracker,audio of owner,owner's immediate family,iotNull
335,a fitness tracker records audio of owner which is sent to owner's social media accounts,a fitness tracker,audio of owner,owner's social media accounts,iotNull
336,a fitness tracker records video of owner which is sent to the local police,a fitness tracker,video of owner,the local police,iotNull
337,a fitness tracker records video of owner which is sent to government intelligence agencies,a fitness tracker,video of owner,government intelligence agencies,iotNull
338,a fitness tracker records video of owner which is sent to owner's doctor,a fitness tracker,video of owner,owner's doctor,iotNull
339,a fitness tracker records video of owner which is sent to an Internet service provider,a fitness tracker,video of owner,an Internet service provider,iotNull
340,a fitness tracker records video of owner which is sent to its manufacturer,a fitness tracker,video of owner,its manufacturer,iotNull
341,a fitness tracker records video of owner which is sent to other devices in the home,a fitness tracker,video of owner,other devices in the home,iotNull
342,a fitness tracker records video of owner which is sent to owner's immediate family,a fitness tracker,video of owner,owner's immediate family,iotNull
343,a fitness tracker records video of owner which is sent to owner's social media accounts,a fitness tracker,video of owner,owner's social media accounts,iotNull
344,a fitness tracker records owner's heart rate which is sent to the local police,a fitness tracker,owner's heart rate,the local police,iotNull
345,a fitness tracker records owner's heart rate which is sent to government intelligence agencies,a fitness tracker,owner's heart rate,government intelligence agencies,iotNull
346,a fitness tracker records owner's heart rate which is sent to owner's doctor,a fitness tracker,owner's heart rate,owner's doctor,iotNull
347,a fitness tracker records owner's heart rate which is sent to an Internet service provider,a fitness tracker,owner's heart rate,an Internet service provider,iotNull
348,a fitness tracker records owner's heart rate which is sent to its manufacturer,a fitness tracker,owner's heart rate,its manufacturer,iotNull
349,a fitness tracker records owner's heart rate which is sent to other devices in the home,a fitness tracker,owner's heart rate,other devices in the home,iotNull
350,a fitness tracker records owner's heart rate which is sent to owner's immediate family,a fitness tracker,owner's heart rate,owner's immediate family,iotNull
351,a fitness tracker records owner's heart rate which is sent to owner's social media accounts,a fitness tracker,owner's heart rate,owner's social media accounts,iotNull
352,a fitness tracker records the times it is used which is sent to the local police,a fitness tracker,the times it is used,the local police,iotNull
353,a fitness tracker records the times it is used which is sent to government intelligence agencies,a fitness tracker,the times it is used,government intelligence agencies,iotNull
354,a fitness tracker records the times it is used which is sent to owner's doctor,a fitness tracker,the times it is used,owner's doctor,iotNull
355,a fitness tracker records the times it is used which is sent to an Internet service provider,a fitness tracker,the times it is used,an Internet service provider,iotNull
356,a fitness tracker records the times it is used which is sent to its manufacturer,a fitness tracker,the times it is used,its manufacturer,iotNull
357,a fitness tracker records the times it is used which is sent to other devices in the home,a fitness tracker,the times it is used,other devices in the home,iotNull
358,a fitness tracker records the times it is used which is sent to owner's immediate family,a fitness tracker,the times it is used,owner's immediate family,iotNull
359,a fitness tracker records the times it is used which is sent to owner's social media accounts,a fitness tracker,the times it is used,owner's social media accounts,iotNull
360,a refrigerator records owner's location which is sent to the local police,a refrigerator,owner's location,the local police,iotNull
361,a refrigerator records owner's location which is sent to government intelligence agencies,a refrigerator,owner's location,government intelligence agencies,iotNull
362,a refrigerator records owner's location which is sent to owner's doctor,a refrigerator,owner's location,owner's doctor,iotNull
363,a refrigerator records owner's location which is sent to an Internet service provider,a refrigerator,owner's location,an Internet service provider,iotNull
364,a refrigerator records owner's location which is sent to its manufacturer,a refrigerator,owner's location,its manufacturer,iotNull
365,a refrigerator records owner's location which is sent to other devices in the home,a refrigerator,owner's location,other devices in the home,iotNull
366,a refrigerator records owner's location which is sent to owner's immediate family,a refrigerator,owner's location,owner's immediate family,iotNull
367,a refrigerator records owner's location which is sent to owner's social media accounts,a refrigerator,owner's location,owner's social media accounts,iotNull
368,a refrigerator records owner's eating habits which is sent to the local police,a refrigerator,owner's eating habits,the local police,iotNull
369,a refrigerator records owner's eating habits which is sent to government intelligence agencies,a refrigerator,owner's eating habits,government intelligence agencies,iotNull
370,a refrigerator records owner's eating habits which is sent to owner's doctor,a refrigerator,owner's eating habits,owner's doctor,iotNull
371,a refrigerator records owner's eating habits which is sent to an Internet service provider,a refrigerator,owner's eating habits,an Internet service provider,iotNull
372,a refrigerator records owner's eating habits which is sent to its manufacturer,a refrigerator,owner's eating habits,its manufacturer,iotNull
373,a refrigerator records owner's eating habits which is sent to other devices in the home,a refrigerator,owner's eating habits,other devices in the home,iotNull
374,a refrigerator records owner's eating habits which is sent to owner's immediate family,a refrigerator,owner's eating habits,owner's immediate family,iotNull
375,a refrigerator records owner's eating habits which is sent to owner's social media accounts,a refrigerator,owner's eating habits,owner's social media accounts,iotNull
376,a refrigerator records the times owner is home which is sent to the local police,a refrigerator,the times owner is home,the local police,iotNull
377,a refrigerator records the times owner is home which is sent to government intelligence agencies,a refrigerator,the times owner is home,government intelligence agencies,iotNull
378,a refrigerator records the times owner is home which is sent to owner's doctor,a refrigerator,the times owner is home,owner's doctor,iotNull
379,a refrigerator records the times owner is home which is sent to an Internet service provider,a refrigerator,the times owner is home,an Internet service provider,iotNull
380,a refrigerator records the times owner is home which is sent to its manufacturer,a refrigerator,the times owner is home,its manufacturer,iotNull
381,a refrigerator records the times owner is home which is sent to other devices in the home,a refrigerator,the times owner is home,other devices in the home,iotNull
382,a refrigerator records the times owner is home which is sent to owner's immediate family,a refrigerator,the times owner is home,owner's immediate family,iotNull
383,a refrigerator records the times owner is home which is sent to owner's social media accounts,a refrigerator,the times owner is home,owner's social media accounts,iotNull
384,a refrigerator records owner's exercise routine which is sent to the local police,a refrigerator,owner's exercise routine,the local police,iotNull
385,a refrigerator records owner's exercise routine which is sent to government intelligence agencies,a refrigerator,owner's exercise routine,government intelligence agencies,iotNull
386,a refrigerator records owner's exercise routine which is sent to owner's doctor,a refrigerator,owner's exercise routine,owner's doctor,iotNull
387,a refrigerator records owner's exercise routine which is sent to an Internet service provider,a refrigerator,owner's exercise routine,an Internet service provider,iotNull
388,a refrigerator records owner's exercise routine which is sent to its manufacturer,a refrigerator,owner's exercise routine,its manufacturer,iotNull
389,a refrigerator records owner's exercise routine which is sent to other devices in the home,a refrigerator,owner's exercise routine,other devices in the home,iotNull
390,a refrigerator records owner's exercise routine which is sent to owner's immediate family,a refrigerator,owner's exercise routine,owner's immediate family,iotNull
391,a refrigerator records owner's exercise routine which is sent to owner's social media accounts,a refrigerator,owner's exercise routine,owner's social media accounts,iotNull
392,a refrigerator records owner's sleeping habits which is sent to the local police,a refrigerator,owner's sleeping habits,the local police,iotNull
393,a refrigerator records owner's sleeping habits which is sent to government intelligence agencies,a refrigerator,owner's sleeping habits,government intelligence agencies,iotNull
394,a refrigerator records owner's sleeping habits which is sent to owner's doctor,a refrigerator,owner's sleeping habits,owner's doctor,iotNull
395,a refrigerator records owner's sleeping habits which is sent to an Internet service provider,a refrigerator,owner's sleeping habits,an Internet service provider,iotNull
396,a refrigerator records owner's sleeping habits which is sent to its manufacturer,a refrigerator,owner's sleeping habits,its manufacturer,iotNull
397,a refrigerator records owner's sleeping habits which is sent to other devices in the home,a refrigerator,owner's sleeping habits,other devices in the home,iotNull
398,a refrigerator records owner's sleeping habits which is sent to owner's immediate family,a refrigerator,owner's sleeping habits,owner's immediate family,iotNull
399,a refrigerator records owner's sleeping habits which is sent to owner's social media accounts,a refrigerator,owner's sleeping habits,owner's social media accounts,iotNull
400,a refrigerator records audio of owner which is sent to the local police,a refrigerator,audio of owner,the local police,iotNull
401,a refrigerator records audio of owner which is sent to government intelligence agencies,a refrigerator,audio of owner,government intelligence agencies,iotNull
402,a refrigerator records audio of owner which is sent to owner's doctor,a refrigerator,audio of owner,owner's doctor,iotNull
403,a refrigerator records audio of owner which is sent to an Internet service provider,a refrigerator,audio of owner,an Internet service provider,iotNull
404,a refrigerator records audio of owner which is sent to its manufacturer,a refrigerator,audio of owner,its manufacturer,iotNull
405,a refrigerator records audio of owner which is sent to other devices in the home,a refrigerator,audio of owner,other devices in the home,iotNull
406,a refrigerator records audio of owner which is sent to owner's immediate family,a refrigerator,audio of owner,owner's immediate family,iotNull
407,a refrigerator records audio of owner which is sent to owner's social media accounts,a refrigerator,audio of owner,owner's social media accounts,iotNull
408,a refrigerator records video of owner which is sent to the local police,a refrigerator,video of owner,the local police,iotNull
409,a refrigerator records video of owner which is sent to government intelligence agencies,a refrigerator,video of owner,government intelligence agencies,iotNull
410,a refrigerator records video of owner which is sent to owner's doctor,a refrigerator,video of owner,owner's doctor,iotNull
411,a refrigerator records video of owner which is sent to an Internet service provider,a refrigerator,video of owner,an Internet service provider,iotNull
412,a refrigerator records video of owner which is sent to its manufacturer,a refrigerator,video of owner,its manufacturer,iotNull
413,a refrigerator records video of owner which is sent to other devices in the home,a refrigerator,video of owner,other devices in the home,iotNull
414,a refrigerator records video of owner which is sent to owner's immediate family,a refrigerator,video of owner,owner's immediate family,iotNull
415,a refrigerator records video of owner which is sent to owner's social media accounts,a refrigerator,video of owner,owner's social media accounts,iotNull
416,a refrigerator records owner's heart rate which is sent to the local police,a refrigerator,owner's heart rate,the local police,iotNull
417,a refrigerator records owner's heart rate which is sent to government intelligence agencies,a refrigerator,owner's heart rate,government intelligence agencies,iotNull
418,a refrigerator records owner's heart rate which is sent to owner's doctor,a refrigerator,owner's heart rate,owner's doctor,iotNull
419,a refrigerator records owner's heart rate which is sent to an Internet service provider,a refrigerator,owner's heart rate,an Internet service provider,iotNull
420,a refrigerator records owner's heart rate which is sent to its manufacturer,a refrigerator,owner's heart rate,its manufacturer,iotNull
421,a refrigerator records owner's heart rate which is sent to other devices in the home,a refrigerator,owner's heart rate,other devices in the home,iotNull
422,a refrigerator records owner's heart rate which is sent to owner's immediate family,a refrigerator,owner's heart rate,owner's immediate family,iotNull
423,a refrigerator records owner's heart rate which is sent to owner's social media accounts,a refrigerator,owner's heart rate,owner's social media accounts,iotNull
424,a refrigerator records the times it is used which is sent to the local police,a refrigerator,the times it is used,the local police,iotNull
425,a refrigerator records the times it is used which is sent to government intelligence agencies,a refrigerator,the times it is used,government intelligence agencies,iotNull
426,a refrigerator records the times it is used which is sent to owner's doctor,a refrigerator,the times it is used,owner's doctor,iotNull
427,a refrigerator records the times it is used which is sent to an Internet service provider,a refrigerator,the times it is used,an Internet service provider,iotNull
428,a refrigerator records the times it is used which is sent to its manufacturer,a refrigerator,the times it is used,its manufacturer,iotNull
429,a refrigerator records the times it is used which is sent to other devices in the home,a refrigerator,the times it is used,other devices in the home,iotNull
430,a refrigerator records the times it is used which is sent to owner's immediate family,a refrigerator,the times it is used,owner's immediate family,iotNull
431,a refrigerator records the times it is used which is sent to owner's social media accounts,a refrigerator,the times it is used,owner's social media accounts,iotNull
432,a power meter records owner's location which is sent to the local police,a power meter,owner's location,the local police,iotNull
433,a power meter records owner's location which is sent to government intelligence agencies,a power meter,owner's location,government intelligence agencies,iotNull
434,a power meter records owner's location which is sent to owner's doctor,a power meter,owner's location,owner's doctor,iotNull
435,a power meter records owner's location which is sent to an Internet service provider,a power meter,owner's location,an Internet service provider,iotNull
436,a power meter records owner's location which is sent to its manufacturer,a power meter,owner's location,its manufacturer,iotNull
437,a power meter records owner's location which is sent to other devices in the home,a power meter,owner's location,other devices in the home,iotNull
438,a power meter records owner's location which is sent to owner's immediate family,a power meter,owner's location,owner's immediate family,iotNull
439,a power meter records owner's location which is sent to owner's social media accounts,a power meter,owner's location,owner's social media accounts,iotNull
440,a power meter records owner's eating habits which is sent to the local police,a power meter,owner's eating habits,the local police,iotNull
441,a power meter records owner's eating habits which is sent to government intelligence agencies,a power meter,owner's eating habits,government intelligence agencies,iotNull
442,a power meter records owner's eating habits which is sent to owner's doctor,a power meter,owner's eating habits,owner's doctor,iotNull
443,a power meter records owner's eating habits which is sent to an Internet service provider,a power meter,owner's eating habits,an Internet service provider,iotNull
444,a power meter records owner's eating habits which is sent to its manufacturer,a power meter,owner's eating habits,its manufacturer,iotNull
445,a power meter records owner's eating habits which is sent to other devices in the home,a power meter,owner's eating habits,other devices in the home,iotNull
446,a power meter records owner's eating habits which is sent to owner's immediate family,a power meter,owner's eating habits,owner's immediate family,iotNull
447,a power meter records owner's eating habits which is sent to owner's social media accounts,a power meter,owner's eating habits,owner's social media accounts,iotNull
448,a power meter records the times owner is home which is sent to the local police,a power meter,the times owner is home,the local police,iotNull
449,a power meter records the times owner is home which is sent to government intelligence agencies,a power meter,the times owner is home,government intelligence agencies,iotNull
450,a power meter records the times owner is home which is sent to owner's doctor,a power meter,the times owner is home,owner's doctor,iotNull
451,a power meter records the times owner is home which is sent to an Internet service provider,a power meter,the times owner is home,an Internet service provider,iotNull
452,a power meter records the times owner is home which is sent to its manufacturer,a power meter,the times owner is home,its manufacturer,iotNull
453,a power meter records the times owner is home which is sent to other devices in the home,a power meter,the times owner is home,other devices in the home,iotNull
454,a power meter records the times owner is home which is sent to owner's immediate family,a power meter,the times owner is home,owner's immediate family,iotNull
455,a power meter records the times owner is home which is sent to owner's social media accounts,a power meter,the times owner is home,owner's social media accounts,iotNull
456,a power meter records owner's exercise routine which is sent to the local police,a power meter,owner's exercise routine,the local police,iotNull
457,a power meter records owner's exercise routine which is sent to government intelligence agencies,a power meter,owner's exercise routine,government intelligence agencies,iotNull
458,a power meter records owner's exercise routine which is sent to owner's doctor,a power meter,owner's exercise routine,owner's doctor,iotNull
459,a power meter records owner's exercise routine which is sent to an Internet service provider,a power meter,owner's exercise routine,an Internet service provider,iotNull
460,a power meter records owner's exercise routine which is sent to its manufacturer,a power meter,owner's exercise routine,its manufacturer,iotNull
461,a power meter records owner's exercise routine which is sent to other devices in the home,a power meter,owner's exercise routine,other devices in the home,iotNull
462,a power meter records owner's exercise routine which is sent to owner's immediate family,a power meter,owner's exercise routine,owner's immediate family,iotNull
463,a power meter records owner's exercise routine which is sent to owner's social media accounts,a power meter,owner's exercise routine,owner's social media accounts,iotNull
464,a power meter records owner's sleeping habits which is sent to the local police,a power meter,owner's sleeping habits,the local police,iotNull
465,a power meter records owner's sleeping habits which is sent to government intelligence agencies,a power meter,owner's sleeping habits,government intelligence agencies,iotNull
466,a power meter records owner's sleeping habits which is sent to owner's doctor,a power meter,owner's sleeping habits,owner's doctor,iotNull
467,a power meter records owner's sleeping habits which is sent to an Internet service provider,a power meter,owner's sleeping habits,an Internet service provider,iotNull
468,a power meter records owner's sleeping habits which is sent to its manufacturer,a power meter,owner's sleeping habits,its manufacturer,iotNull
469,a power meter records owner's sleeping habits which is sent to other devices in the home,a power meter,owner's sleeping habits,other devices in the home,iotNull
470,a power meter records owner's sleeping habits which is sent to owner's immediate family,a power meter,owner's sleeping habits,owner's immediate family,iotNull
471,a power meter records owner's sleeping habits which is sent to owner's social media accounts,a power meter,owner's sleeping habits,owner's social media accounts,iotNull
472,a power meter records audio of owner which is sent to the local police,a power meter,audio of owner,the local police,iotNull
473,a power meter records audio of owner which is sent to government intelligence agencies,a power meter,audio of owner,government intelligence agencies,iotNull
474,a power meter records audio of owner which is sent to owner's doctor,a power meter,audio of owner,owner's doctor,iotNull
475,a power meter records audio of owner which is sent to an Internet service provider,a power meter,audio of owner,an Internet service provider,iotNull
476,a power meter records audio of owner which is sent to its manufacturer,a power meter,audio of owner,its manufacturer,iotNull
477,a power meter records audio of owner which is sent to other devices in the home,a power meter,audio of owner,other devices in the home,iotNull
478,a power meter records audio of owner which is sent to owner's immediate family,a power meter,audio of owner,owner's immediate family,iotNull
479,a power meter records audio of owner which is sent to owner's social media accounts,a power meter,audio of owner,owner's social media accounts,iotNull
480,a power meter records video of owner which is sent to the local police,a power meter,video of owner,the local police,iotNull
481,a power meter records video of owner which is sent to government intelligence agencies,a power meter,video of owner,government intelligence agencies,iotNull
482,a power meter records video of owner which is sent to owner's doctor,a power meter,video of owner,owner's doctor,iotNull
483,a power meter records video of owner which is sent to an Internet service provider,a power meter,video of owner,an Internet service provider,iotNull
484,a power meter records video of owner which is sent to its manufacturer,a power meter,video of owner,its manufacturer,iotNull
485,a power meter records video of owner which is sent to other devices in the home,a power meter,video of owner,other devices in the home,iotNull
486,a power meter records video of owner which is sent to owner's immediate family,a power meter,video of owner,owner's immediate family,iotNull
487,a power meter records video of owner which is sent to owner's social media accounts,a power meter,video of owner,owner's social media accounts,iotNull
488,a power meter records owner's heart rate which is sent to the local police,a power meter,owner's heart rate,the local police,iotNull
489,a power meter records owner's heart rate which is sent to government intelligence agencies,a power meter,owner's heart rate,government intelligence agencies,iotNull
490,a power meter records owner's heart rate which is sent to owner's doctor,a power meter,owner's heart rate,owner's doctor,iotNull
491,a power meter records owner's heart rate which is sent to an Internet service provider,a power meter,owner's heart rate,an Internet service provider,iotNull
492,a power meter records owner's heart rate which is sent to its manufacturer,a power meter,owner's heart rate,its manufacturer,iotNull
493,a power meter records owner's heart rate which is sent to other devices in the home,a power meter,owner's heart rate,other devices in the home,iotNull
494,a power meter records owner's heart rate which is sent to owner's immediate family,a power meter,owner's heart rate,owner's immediate family,iotNull
495,a power meter records owner's heart rate which is sent to owner's social media accounts,a power meter,owner's heart rate,owner's social media accounts,iotNull
496,a power meter records the times it is used which is sent to the local police,a power meter,the times it is used,the local police,iotNull
497,a power meter records the times it is used which is sent to government intelligence agencies,a power meter,the times it is used,government intelligence agencies,iotNull
498,a power meter records the times it is used which is sent to owner's doctor,a power meter,the times it is used,owner's doctor,iotNull
499,a power meter records the times it is used which is sent to an Internet service provider,a power meter,the times it is used,an Internet service provider,iotNull
500,a power meter records the times it is used which is sent to its manufacturer,a power meter,the times it is used,its manufacturer,iotNull
501,a power meter records the times it is used which is sent to other devices in the home,a power meter,the times it is used,other devices in the home,iotNull
502,a power meter records the times it is used which is sent to owner's immediate family,a power meter,the times it is used,owner's immediate family,iotNull
503,a power meter records the times it is used which is sent to owner's social media accounts,a power meter,the times it is used,owner's social media accounts,iotNull
504,"a personal assistant (e.g., Siri, Amazon echo) records owner's location which is sent to the local police","a personal assistant (e.g., Siri, Amazon echo)",owner's location,the local police,iotNull
505,"a personal assistant (e.g., Siri, Amazon echo) records owner's location which is sent to government intelligence agencies","a personal assistant (e.g., Siri, Amazon echo)",owner's location,government intelligence agencies,iotNull
506,"a personal assistant (e.g., Siri, Amazon echo) records owner's location which is sent to owner's doctor","a personal assistant (e.g., Siri, Amazon echo)",owner's location,owner's doctor,iotNull
507,"a personal assistant (e.g., Siri, Amazon echo) records owner's location which is sent to an Internet service provider","a personal assistant (e.g., Siri, Amazon echo)",owner's location,an Internet service provider,iotNull
508,"a personal assistant (e.g., Siri, Amazon echo) records owner's location which is sent to its manufacturer","a personal assistant (e.g., Siri, Amazon echo)",owner's location,its manufacturer,iotNull
509,"a personal assistant (e.g., Siri, Amazon echo) records owner's location which is sent to other devices in the home","a personal assistant (e.g., Siri, Amazon echo)",owner's location,other devices in the home,iotNull
510,"a personal assistant (e.g., Siri, Amazon echo) records owner's location which is sent to owner's immediate family","a personal assistant (e.g., Siri, Amazon echo)",owner's location,owner's immediate family,iotNull
511,"a personal assistant (e.g., Siri, Amazon echo) records owner's location which is sent to owner's social media accounts","a personal assistant (e.g., Siri, Amazon echo)",owner's location,owner's social media accounts,iotNull
512,"a personal assistant (e.g., Siri, Amazon echo) records owner's eating habits which is sent to the local police","a personal assistant (e.g., Siri, Amazon echo)",owner's eating habits,the local police,iotNull
513,"a personal assistant (e.g., Siri, Amazon echo) records owner's eating habits which is sent to government intelligence agencies","a personal assistant (e.g., Siri, Amazon echo)",owner's eating habits,government intelligence agencies,iotNull
514,"a personal assistant (e.g., Siri, Amazon echo) records owner's eating habits which is sent to owner's doctor","a personal assistant (e.g., Siri, Amazon echo)",owner's eating habits,owner's doctor,iotNull
515,"a personal assistant (e.g., Siri, Amazon echo) records owner's eating habits which is sent to an Internet service provider","a personal assistant (e.g., Siri, Amazon echo)",owner's eating habits,an Internet service provider,iotNull
516,"a personal assistant (e.g., Siri, Amazon echo) records owner's eating habits which is sent to its manufacturer","a personal assistant (e.g., Siri, Amazon echo)",owner's eating habits,its manufacturer,iotNull
517,"a personal assistant (e.g., Siri, Amazon echo) records owner's eating habits which is sent to other devices in the home","a personal assistant (e.g., Siri, Amazon echo)",owner's eating habits,other devices in the home,iotNull
518,"a personal assistant (e.g., Siri, Amazon echo) records owner's eating habits which is sent to owner's immediate family","a personal assistant (e.g., Siri, Amazon echo)",owner's eating habits,owner's immediate family,iotNull
519,"a personal assistant (e.g., Siri, Amazon echo) records owner's eating habits which is sent to owner's social media accounts","a personal assistant (e.g., Siri, Amazon echo)",owner's eating habits,owner's social media accounts,iotNull
