,vignette,recipient,source,duration,place,type
160,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,a restaurant or a cafe,location2
161,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,a restaurant or a cafe,location2
162,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,a restaurant or a cafe,location2
163,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,a restaurant or a cafe,location2
164,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,a restaurant or a cafe,location2
165,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,the mall,location2
166,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,the mall,location2
167,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,the mall,location2
168,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,the mall,location2
169,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,the mall,location2
170,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,a liquor store,location2
171,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,a liquor store,location2
172,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,a liquor store,location2
173,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,a liquor store,location2
174,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,a liquor store,location2
175,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,a shoe store,location2
176,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,a shoe store,location2
177,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,a shoe store,location2
178,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,a shoe store,location2
179,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,a shoe store,location2
180,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,home,location2
181,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,home,location2
182,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,home,location2
183,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,home,location2
184,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,home,location2
185,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,work,location2
186,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,work,location2
187,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,work,location2
188,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,work,location2
189,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,work,location2
190,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,a medical clinic,location2
191,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,a medical clinic,location2
192,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,a medical clinic,location2
193,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,a medical clinic,location2
194,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,a medical clinic,location2
195,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,a voting site,location2
196,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,a voting site,location2
197,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,a voting site,location2
198,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,a voting site,location2
199,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,a voting site,location2
200,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,a restaurant or a cafe,location2
201,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,a restaurant or a cafe,location2
202,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,a restaurant or a cafe,location2
203,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,a restaurant or a cafe,location2
204,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,a restaurant or a cafe,location2
205,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,the mall,location2
206,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,the mall,location2
207,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,the mall,location2
208,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,the mall,location2
209,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at the mall","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,the mall,location2
210,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,a liquor store,location2
211,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,a liquor store,location2
212,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,a liquor store,location2
213,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,a liquor store,location2
214,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a liquor store","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,a liquor store,location2
215,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,a shoe store,location2
216,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,a shoe store,location2
217,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,a shoe store,location2
218,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,a shoe store,location2
219,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a shoe store","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,a shoe store,location2
220,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,home,location2
221,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,home,location2
222,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,home,location2
223,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,home,location2
224,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at home","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,home,location2
225,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,work,location2
226,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,work,location2
227,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,work,location2
228,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,work,location2
229,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at work","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,work,location2
230,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,a medical clinic,location2
231,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,a medical clinic,location2
232,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,a medical clinic,location2
233,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,a medical clinic,location2
234,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a medical clinic","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,a medical clinic,location2
235,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,a voting site,location2
236,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,a voting site,location2
237,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,a voting site,location2
238,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,a voting site,location2
239,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a voting site","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,a voting site,location2
240,FBI acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe,FBI,license plate reader,a year,a restaurant or a cafe,location2
241,FBI acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe,FBI,license plate reader,about six months,a restaurant or a cafe,location2
242,FBI acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe,FBI,license plate reader,a month,a restaurant or a cafe,location2
243,FBI acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe,FBI,license plate reader,a few days,a restaurant or a cafe,location2
244,FBI acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe,FBI,license plate reader,a few minutes,a restaurant or a cafe,location2
245,FBI acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at the mall,FBI,license plate reader,a year,the mall,location2
246,FBI acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at the mall,FBI,license plate reader,about six months,the mall,location2
247,FBI acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at the mall,FBI,license plate reader,a month,the mall,location2
248,FBI acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at the mall,FBI,license plate reader,a few days,the mall,location2
249,FBI acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at the mall,FBI,license plate reader,a few minutes,the mall,location2
250,FBI acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a liquor store,FBI,license plate reader,a year,a liquor store,location2
251,FBI acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a liquor store,FBI,license plate reader,about six months,a liquor store,location2
252,FBI acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a liquor store,FBI,license plate reader,a month,a liquor store,location2
253,FBI acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a liquor store,FBI,license plate reader,a few days,a liquor store,location2
254,FBI acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a liquor store,FBI,license plate reader,a few minutes,a liquor store,location2
255,FBI acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a shoe store,FBI,license plate reader,a year,a shoe store,location2
256,FBI acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a shoe store,FBI,license plate reader,about six months,a shoe store,location2
257,FBI acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a shoe store,FBI,license plate reader,a month,a shoe store,location2
258,FBI acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a shoe store,FBI,license plate reader,a few days,a shoe store,location2
259,FBI acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a shoe store,FBI,license plate reader,a few minutes,a shoe store,location2
260,FBI acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at home,FBI,license plate reader,a year,home,location2
261,FBI acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at home,FBI,license plate reader,about six months,home,location2
262,FBI acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at home,FBI,license plate reader,a month,home,location2
263,FBI acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at home,FBI,license plate reader,a few days,home,location2
264,FBI acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at home,FBI,license plate reader,a few minutes,home,location2
265,FBI acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at work,FBI,license plate reader,a year,work,location2
266,FBI acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at work,FBI,license plate reader,about six months,work,location2
267,FBI acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at work,FBI,license plate reader,a month,work,location2
268,FBI acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at work,FBI,license plate reader,a few days,work,location2
269,FBI acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at work,FBI,license plate reader,a few minutes,work,location2
270,FBI acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a medical clinic,FBI,license plate reader,a year,a medical clinic,location2
271,FBI acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a medical clinic,FBI,license plate reader,about six months,a medical clinic,location2
272,FBI acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a medical clinic,FBI,license plate reader,a month,a medical clinic,location2
273,FBI acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a medical clinic,FBI,license plate reader,a few days,a medical clinic,location2
274,FBI acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a medical clinic,FBI,license plate reader,a few minutes,a medical clinic,location2
275,FBI acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a voting site,FBI,license plate reader,a year,a voting site,location2
276,FBI acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a voting site,FBI,license plate reader,about six months,a voting site,location2
277,FBI acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a voting site,FBI,license plate reader,a month,a voting site,location2
278,FBI acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a voting site,FBI,license plate reader,a few days,a voting site,location2
279,FBI acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a voting site,FBI,license plate reader,a few minutes,a voting site,location2
280,FBI acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe,FBI,CCTV cameras with facial recognition,a year,a restaurant or a cafe,location2
281,FBI acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe,FBI,CCTV cameras with facial recognition,about six months,a restaurant or a cafe,location2
282,FBI acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe,FBI,CCTV cameras with facial recognition,a month,a restaurant or a cafe,location2
283,FBI acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe,FBI,CCTV cameras with facial recognition,a few days,a restaurant or a cafe,location2
284,FBI acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe,FBI,CCTV cameras with facial recognition,a few minutes,a restaurant or a cafe,location2
285,FBI acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at the mall,FBI,CCTV cameras with facial recognition,a year,the mall,location2
286,FBI acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at the mall,FBI,CCTV cameras with facial recognition,about six months,the mall,location2
287,FBI acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at the mall,FBI,CCTV cameras with facial recognition,a month,the mall,location2
288,FBI acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at the mall,FBI,CCTV cameras with facial recognition,a few days,the mall,location2
289,FBI acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at the mall,FBI,CCTV cameras with facial recognition,a few minutes,the mall,location2
290,FBI acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a liquor store,FBI,CCTV cameras with facial recognition,a year,a liquor store,location2
291,FBI acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a liquor store,FBI,CCTV cameras with facial recognition,about six months,a liquor store,location2
292,FBI acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a liquor store,FBI,CCTV cameras with facial recognition,a month,a liquor store,location2
293,FBI acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a liquor store,FBI,CCTV cameras with facial recognition,a few days,a liquor store,location2
294,FBI acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a liquor store,FBI,CCTV cameras with facial recognition,a few minutes,a liquor store,location2
295,FBI acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a shoe store,FBI,CCTV cameras with facial recognition,a year,a shoe store,location2
296,FBI acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a shoe store,FBI,CCTV cameras with facial recognition,about six months,a shoe store,location2
297,FBI acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a shoe store,FBI,CCTV cameras with facial recognition,a month,a shoe store,location2
298,FBI acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a shoe store,FBI,CCTV cameras with facial recognition,a few days,a shoe store,location2
299,FBI acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a shoe store,FBI,CCTV cameras with facial recognition,a few minutes,a shoe store,location2
300,FBI acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at home,FBI,CCTV cameras with facial recognition,a year,home,location2
301,FBI acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at home,FBI,CCTV cameras with facial recognition,about six months,home,location2
302,FBI acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at home,FBI,CCTV cameras with facial recognition,a month,home,location2
303,FBI acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at home,FBI,CCTV cameras with facial recognition,a few days,home,location2
304,FBI acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at home,FBI,CCTV cameras with facial recognition,a few minutes,home,location2
305,FBI acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at work,FBI,CCTV cameras with facial recognition,a year,work,location2
306,FBI acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at work,FBI,CCTV cameras with facial recognition,about six months,work,location2
307,FBI acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at work,FBI,CCTV cameras with facial recognition,a month,work,location2
308,FBI acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at work,FBI,CCTV cameras with facial recognition,a few days,work,location2
309,FBI acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at work,FBI,CCTV cameras with facial recognition,a few minutes,work,location2
310,FBI acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a medical clinic,FBI,CCTV cameras with facial recognition,a year,a medical clinic,location2
311,FBI acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a medical clinic,FBI,CCTV cameras with facial recognition,about six months,a medical clinic,location2
312,FBI acquires location data from CCTV cameras with facial recognition for a period of a month and uses this data to figure out if a person was at a medical clinic,FBI,CCTV cameras with facial recognition,a month,a medical clinic,location2
313,FBI acquires location data from CCTV cameras with facial recognition for a period of a few days and uses this data to figure out if a person was at a medical clinic,FBI,CCTV cameras with facial recognition,a few days,a medical clinic,location2
314,FBI acquires location data from CCTV cameras with facial recognition for a period of a few minutes and uses this data to figure out if a person was at a medical clinic,FBI,CCTV cameras with facial recognition,a few minutes,a medical clinic,location2
315,FBI acquires location data from CCTV cameras with facial recognition for a period of a year and uses this data to figure out if a person was at a voting site,FBI,CCTV cameras with facial recognition,a year,a voting site,location2
316,FBI acquires location data from CCTV cameras with facial recognition for a period of about six months and uses this data to figure out if a person was at a voting site,FBI,CCTV cameras with facial recognition,about six months,a voting site,location2
