,vignette,sender,infotype,recipient,transmission,type
1378,a security camera records audio of owner which is sent to owner's doctor under the following condition: if its privacy policy permits it,a security camera,audio of owner,owner's doctor,if its privacy policy permits it,iot
1379,a security camera records audio of owner which is sent to owner's doctor under the following condition: in an emergency situation,a security camera,audio of owner,owner's doctor,in an emergency situation,iot
1380,a security camera records audio of owner which is sent to an Internet service provider under the following condition: if owner has given consent,a security camera,audio of owner,an Internet service provider,if owner has given consent,iot
1381,a security camera records audio of owner which is sent to an Internet service provider under the following condition: if owner is notified,a security camera,audio of owner,an Internet service provider,if owner is notified,iot
1382,a security camera records audio of owner which is sent to an Internet service provider under the following condition: if the information is kept confidential,a security camera,audio of owner,an Internet service provider,if the information is kept confidential,iot
1383,a security camera records audio of owner which is sent to an Internet service provider under the following condition: if the information is anonymous,a security camera,audio of owner,an Internet service provider,if the information is anonymous,iot
1384,a security camera records audio of owner which is sent to an Internet service provider under the following condition: if the information is used to perform maintenance on the device,a security camera,audio of owner,an Internet service provider,if the information is used to perform maintenance on the device,iot
1385,a security camera records audio of owner which is sent to an Internet service provider under the following condition: if the information is used to provide a price discount,a security camera,audio of owner,an Internet service provider,if the information is used to provide a price discount,iot
1386,a security camera records audio of owner which is sent to an Internet service provider under the following condition: if the information is used for advertising,a security camera,audio of owner,an Internet service provider,if the information is used for advertising,iot
1387,a security camera records audio of owner which is sent to an Internet service provider under the following condition: if the information is used to develop new features for the device,a security camera,audio of owner,an Internet service provider,if the information is used to develop new features for the device,iot
1388,a security camera records audio of owner which is sent to an Internet service provider under the following condition: if the information is not stored,a security camera,audio of owner,an Internet service provider,if the information is not stored,iot
1389,a security camera records audio of owner which is sent to an Internet service provider under the following condition: if the information is stored indefinitely,a security camera,audio of owner,an Internet service provider,if the information is stored indefinitely,iot
1390,a security camera records audio of owner which is sent to an Internet service provider under the following condition: if its privacy policy permits it,a security camera,audio of owner,an Internet service provider,if its privacy policy permits it,iot
1391,a security camera records audio of owner which is sent to an Internet service provider under the following condition: in an emergency situation,a security camera,audio of owner,an Internet service provider,in an emergency situation,iot
1392,a security camera records audio of owner which is sent to its manufacturer under the following condition: if owner has given consent,a security camera,audio of owner,its manufacturer,if owner has given consent,iot
1393,a security camera records audio of owner which is sent to its manufacturer under the following condition: if owner is notified,a security camera,audio of owner,its manufacturer,if owner is notified,iot
1394,a security camera records audio of owner which is sent to its manufacturer under the following condition: if the information is kept confidential,a security camera,audio of owner,its manufacturer,if the information is kept confidential,iot
1395,a security camera records audio of owner which is sent to its manufacturer under the following condition: if the information is anonymous,a security camera,audio of owner,its manufacturer,if the information is anonymous,iot
1396,a security camera records audio of owner which is sent to its manufacturer under the following condition: if the information is used to perform maintenance on the device,a security camera,audio of owner,its manufacturer,if the information is used to perform maintenance on the device,iot
1397,a security camera records audio of owner which is sent to its manufacturer under the following condition: if the information is used to provide a price discount,a security camera,audio of owner,its manufacturer,if the information is used to provide a price discount,iot
1398,a security camera records audio of owner which is sent to its manufacturer under the following condition: if the information is used for advertising,a security camera,audio of owner,its manufacturer,if the information is used for advertising,iot
1399,a security camera records audio of owner which is sent to its manufacturer under the following condition: if the information is used to develop new features for the device,a security camera,audio of owner,its manufacturer,if the information is used to develop new features for the device,iot
1400,a security camera records audio of owner which is sent to its manufacturer under the following condition: if the information is not stored,a security camera,audio of owner,its manufacturer,if the information is not stored,iot
1401,a security camera records audio of owner which is sent to its manufacturer under the following condition: if the information is stored indefinitely,a security camera,audio of owner,its manufacturer,if the information is stored indefinitely,iot
1402,a security camera records audio of owner which is sent to its manufacturer under the following condition: if its privacy policy permits it,a security camera,audio of owner,its manufacturer,if its privacy policy permits it,iot
1403,a security camera records audio of owner which is sent to its manufacturer under the following condition: in an emergency situation,a security camera,audio of owner,its manufacturer,in an emergency situation,iot
1404,a security camera records audio of owner which is sent to other devices in the home under the following condition: if owner has given consent,a security camera,audio of owner,other devices in the home,if owner has given consent,iot
1405,a security camera records audio of owner which is sent to other devices in the home under the following condition: if owner is notified,a security camera,audio of owner,other devices in the home,if owner is notified,iot
1406,a security camera records audio of owner which is sent to other devices in the home under the following condition: if the information is kept confidential,a security camera,audio of owner,other devices in the home,if the information is kept confidential,iot
1407,a security camera records audio of owner which is sent to other devices in the home under the following condition: if the information is anonymous,a security camera,audio of owner,other devices in the home,if the information is anonymous,iot
1408,a security camera records audio of owner which is sent to other devices in the home under the following condition: if the information is used to perform maintenance on the device,a security camera,audio of owner,other devices in the home,if the information is used to perform maintenance on the device,iot
1409,a security camera records audio of owner which is sent to other devices in the home under the following condition: if the information is used to provide a price discount,a security camera,audio of owner,other devices in the home,if the information is used to provide a price discount,iot
1410,a security camera records audio of owner which is sent to other devices in the home under the following condition: if the information is used for advertising,a security camera,audio of owner,other devices in the home,if the information is used for advertising,iot
1411,a security camera records audio of owner which is sent to other devices in the home under the following condition: if the information is used to develop new features for the device,a security camera,audio of owner,other devices in the home,if the information is used to develop new features for the device,iot
1412,a security camera records audio of owner which is sent to other devices in the home under the following condition: if the information is not stored,a security camera,audio of owner,other devices in the home,if the information is not stored,iot
1413,a security camera records audio of owner which is sent to other devices in the home under the following condition: if the information is stored indefinitely,a security camera,audio of owner,other devices in the home,if the information is stored indefinitely,iot
1414,a security camera records audio of owner which is sent to other devices in the home under the following condition: if its privacy policy permits it,a security camera,audio of owner,other devices in the home,if its privacy policy permits it,iot
1415,a security camera records audio of owner which is sent to other devices in the home under the following condition: in an emergency situation,a security camera,audio of owner,other devices in the home,in an emergency situation,iot
1416,a security camera records audio of owner which is sent to owner's immediate family under the following condition: if owner has given consent,a security camera,audio of owner,owner's immediate family,if owner has given consent,iot
1417,a security camera records audio of owner which is sent to owner's immediate family under the following condition: if owner is notified,a security camera,audio of owner,owner's immediate family,if owner is notified,iot
1418,a security camera records audio of owner which is sent to owner's immediate family under the following condition: if the information is kept confidential,a security camera,audio of owner,owner's immediate family,if the information is kept confidential,iot
1419,a security camera records audio of owner which is sent to owner's immediate family under the following condition: if the information is anonymous,a security camera,audio of owner,owner's immediate family,if the information is anonymous,iot
1420,a security camera records audio of owner which is sent to owner's immediate family under the following condition: if the information is used to perform maintenance on the device,a security camera,audio of owner,owner's immediate family,if the information is used to perform maintenance on the device,iot
1421,a security camera records audio of owner which is sent to owner's immediate family under the following condition: if the information is used to provide a price discount,a security camera,audio of owner,owner's immediate family,if the information is used to provide a price discount,iot
1422,a security camera records audio of owner which is sent to owner's immediate family under the following condition: if the information is used for advertising,a security camera,audio of owner,owner's immediate family,if the information is used for advertising,iot
1423,a security camera records audio of owner which is sent to owner's immediate family under the following condition: if the information is used to develop new features for the device,a security camera,audio of owner,owner's immediate family,if the information is used to develop new features for the device,iot
1424,a security camera records audio of owner which is sent to owner's immediate family under the following condition: if the information is not stored,a security camera,audio of owner,owner's immediate family,if the information is not stored,iot
1425,a security camera records audio of owner which is sent to owner's immediate family under the following condition: if the information is stored indefinitely,a security camera,audio of owner,owner's immediate family,if the information is stored indefinitely,iot
1426,a security camera records audio of owner which is sent to owner's immediate family under the following condition: if its privacy policy permits it,a security camera,audio of owner,owner's immediate family,if its privacy policy permits it,iot
1427,a security camera records audio of owner which is sent to owner's immediate family under the following condition: in an emergency situation,a security camera,audio of owner,owner's immediate family,in an emergency situation,iot
1428,a security camera records audio of owner which is sent to owner's social media accounts under the following condition: if owner has given consent,a security camera,audio of owner,owner's social media accounts,if owner has given consent,iot
1429,a security camera records audio of owner which is sent to owner's social media accounts under the following condition: if owner is notified,a security camera,audio of owner,owner's social media accounts,if owner is notified,iot
1430,a security camera records audio of owner which is sent to owner's social media accounts under the following condition: if the information is kept confidential,a security camera,audio of owner,owner's social media accounts,if the information is kept confidential,iot
1431,a security camera records audio of owner which is sent to owner's social media accounts under the following condition: if the information is anonymous,a security camera,audio of owner,owner's social media accounts,if the information is anonymous,iot
1432,a security camera records audio of owner which is sent to owner's social media accounts under the following condition: if the information is used to perform maintenance on the device,a security camera,audio of owner,owner's social media accounts,if the information is used to perform maintenance on the device,iot
1433,a security camera records audio of owner which is sent to owner's social media accounts under the following condition: if the information is used to provide a price discount,a security camera,audio of owner,owner's social media accounts,if the information is used to provide a price discount,iot
1434,a security camera records audio of owner which is sent to owner's social media accounts under the following condition: if the information is used for advertising,a security camera,audio of owner,owner's social media accounts,if the information is used for advertising,iot
1435,a security camera records audio of owner which is sent to owner's social media accounts under the following condition: if the information is used to develop new features for the device,a security camera,audio of owner,owner's social media accounts,if the information is used to develop new features for the device,iot
1436,a security camera records audio of owner which is sent to owner's social media accounts under the following condition: if the information is not stored,a security camera,audio of owner,owner's social media accounts,if the information is not stored,iot
1437,a security camera records audio of owner which is sent to owner's social media accounts under the following condition: if the information is stored indefinitely,a security camera,audio of owner,owner's social media accounts,if the information is stored indefinitely,iot
1438,a security camera records audio of owner which is sent to owner's social media accounts under the following condition: if its privacy policy permits it,a security camera,audio of owner,owner's social media accounts,if its privacy policy permits it,iot
1439,a security camera records audio of owner which is sent to owner's social media accounts under the following condition: in an emergency situation,a security camera,audio of owner,owner's social media accounts,in an emergency situation,iot
1440,a security camera records video of owner which is sent to the local police under the following condition: if owner has given consent,a security camera,video of owner,the local police,if owner has given consent,iot
1441,a security camera records video of owner which is sent to the local police under the following condition: if owner is notified,a security camera,video of owner,the local police,if owner is notified,iot
1442,a security camera records video of owner which is sent to the local police under the following condition: if the information is kept confidential,a security camera,video of owner,the local police,if the information is kept confidential,iot
1443,a security camera records video of owner which is sent to the local police under the following condition: if the information is anonymous,a security camera,video of owner,the local police,if the information is anonymous,iot
1444,a security camera records video of owner which is sent to the local police under the following condition: if the information is used to perform maintenance on the device,a security camera,video of owner,the local police,if the information is used to perform maintenance on the device,iot
1445,a security camera records video of owner which is sent to the local police under the following condition: if the information is used to provide a price discount,a security camera,video of owner,the local police,if the information is used to provide a price discount,iot
1446,a security camera records video of owner which is sent to the local police under the following condition: if the information is used for advertising,a security camera,video of owner,the local police,if the information is used for advertising,iot
1447,a security camera records video of owner which is sent to the local police under the following condition: if the information is used to develop new features for the device,a security camera,video of owner,the local police,if the information is used to develop new features for the device,iot
1448,a security camera records video of owner which is sent to the local police under the following condition: if the information is not stored,a security camera,video of owner,the local police,if the information is not stored,iot
1449,a security camera records video of owner which is sent to the local police under the following condition: if the information is stored indefinitely,a security camera,video of owner,the local police,if the information is stored indefinitely,iot
1450,a security camera records video of owner which is sent to the local police under the following condition: if its privacy policy permits it,a security camera,video of owner,the local police,if its privacy policy permits it,iot
1451,a security camera records video of owner which is sent to the local police under the following condition: in an emergency situation,a security camera,video of owner,the local police,in an emergency situation,iot
1452,a security camera records video of owner which is sent to government intelligence agencies under the following condition: if owner has given consent,a security camera,video of owner,government intelligence agencies,if owner has given consent,iot
1453,a security camera records video of owner which is sent to government intelligence agencies under the following condition: if owner is notified,a security camera,video of owner,government intelligence agencies,if owner is notified,iot
1454,a security camera records video of owner which is sent to government intelligence agencies under the following condition: if the information is kept confidential,a security camera,video of owner,government intelligence agencies,if the information is kept confidential,iot
1455,a security camera records video of owner which is sent to government intelligence agencies under the following condition: if the information is anonymous,a security camera,video of owner,government intelligence agencies,if the information is anonymous,iot
1456,a security camera records video of owner which is sent to government intelligence agencies under the following condition: if the information is used to perform maintenance on the device,a security camera,video of owner,government intelligence agencies,if the information is used to perform maintenance on the device,iot
1457,a security camera records video of owner which is sent to government intelligence agencies under the following condition: if the information is used to provide a price discount,a security camera,video of owner,government intelligence agencies,if the information is used to provide a price discount,iot
1458,a security camera records video of owner which is sent to government intelligence agencies under the following condition: if the information is used for advertising,a security camera,video of owner,government intelligence agencies,if the information is used for advertising,iot
1459,a security camera records video of owner which is sent to government intelligence agencies under the following condition: if the information is used to develop new features for the device,a security camera,video of owner,government intelligence agencies,if the information is used to develop new features for the device,iot
1460,a security camera records video of owner which is sent to government intelligence agencies under the following condition: if the information is not stored,a security camera,video of owner,government intelligence agencies,if the information is not stored,iot
1461,a security camera records video of owner which is sent to government intelligence agencies under the following condition: if the information is stored indefinitely,a security camera,video of owner,government intelligence agencies,if the information is stored indefinitely,iot
1462,a security camera records video of owner which is sent to government intelligence agencies under the following condition: if its privacy policy permits it,a security camera,video of owner,government intelligence agencies,if its privacy policy permits it,iot
1463,a security camera records video of owner which is sent to government intelligence agencies under the following condition: in an emergency situation,a security camera,video of owner,government intelligence agencies,in an emergency situation,iot
1464,a security camera records video of owner which is sent to owner's doctor under the following condition: if owner has given consent,a security camera,video of owner,owner's doctor,if owner has given consent,iot
1465,a security camera records video of owner which is sent to owner's doctor under the following condition: if owner is notified,a security camera,video of owner,owner's doctor,if owner is notified,iot
1466,a security camera records video of owner which is sent to owner's doctor under the following condition: if the information is kept confidential,a security camera,video of owner,owner's doctor,if the information is kept confidential,iot
1467,a security camera records video of owner which is sent to owner's doctor under the following condition: if the information is anonymous,a security camera,video of owner,owner's doctor,if the information is anonymous,iot
1468,a security camera records video of owner which is sent to owner's doctor under the following condition: if the information is used to perform maintenance on the device,a security camera,video of owner,owner's doctor,if the information is used to perform maintenance on the device,iot
1469,a security camera records video of owner which is sent to owner's doctor under the following condition: if the information is used to provide a price discount,a security camera,video of owner,owner's doctor,if the information is used to provide a price discount,iot
1470,a security camera records video of owner which is sent to owner's doctor under the following condition: if the information is used for advertising,a security camera,video of owner,owner's doctor,if the information is used for advertising,iot
1471,a security camera records video of owner which is sent to owner's doctor under the following condition: if the information is used to develop new features for the device,a security camera,video of owner,owner's doctor,if the information is used to develop new features for the device,iot
1472,a security camera records video of owner which is sent to owner's doctor under the following condition: if the information is not stored,a security camera,video of owner,owner's doctor,if the information is not stored,iot
1473,a security camera records video of owner which is sent to owner's doctor under the following condition: if the information is stored indefinitely,a security camera,video of owner,owner's doctor,if the information is stored indefinitely,iot
1474,a security camera records video of owner which is sent to owner's doctor under the following condition: if its privacy policy permits it,a security camera,video of owner,owner's doctor,if its privacy policy permits it,iot
1475,a security camera records video of owner which is sent to owner's doctor under the following condition: in an emergency situation,a security camera,video of owner,owner's doctor,in an emergency situation,iot
1476,a security camera records video of owner which is sent to an Internet service provider under the following condition: if owner has given consent,a security camera,video of owner,an Internet service provider,if owner has given consent,iot
1477,a security camera records video of owner which is sent to an Internet service provider under the following condition: if owner is notified,a security camera,video of owner,an Internet service provider,if owner is notified,iot
1478,a security camera records video of owner which is sent to an Internet service provider under the following condition: if the information is kept confidential,a security camera,video of owner,an Internet service provider,if the information is kept confidential,iot
1479,a security camera records video of owner which is sent to an Internet service provider under the following condition: if the information is anonymous,a security camera,video of owner,an Internet service provider,if the information is anonymous,iot
1480,a security camera records video of owner which is sent to an Internet service provider under the following condition: if the information is used to perform maintenance on the device,a security camera,video of owner,an Internet service provider,if the information is used to perform maintenance on the device,iot
1481,a security camera records video of owner which is sent to an Internet service provider under the following condition: if the information is used to provide a price discount,a security camera,video of owner,an Internet service provider,if the information is used to provide a price discount,iot
1482,a security camera records video of owner which is sent to an Internet service provider under the following condition: if the information is used for advertising,a security camera,video of owner,an Internet service provider,if the information is used for advertising,iot
1483,a security camera records video of owner which is sent to an Internet service provider under the following condition: if the information is used to develop new features for the device,a security camera,video of owner,an Internet service provider,if the information is used to develop new features for the device,iot
1484,a security camera records video of owner which is sent to an Internet service provider under the following condition: if the information is not stored,a security camera,video of owner,an Internet service provider,if the information is not stored,iot
1485,a security camera records video of owner which is sent to an Internet service provider under the following condition: if the information is stored indefinitely,a security camera,video of owner,an Internet service provider,if the information is stored indefinitely,iot
1486,a security camera records video of owner which is sent to an Internet service provider under the following condition: if its privacy policy permits it,a security camera,video of owner,an Internet service provider,if its privacy policy permits it,iot
1487,a security camera records video of owner which is sent to an Internet service provider under the following condition: in an emergency situation,a security camera,video of owner,an Internet service provider,in an emergency situation,iot
1488,a security camera records video of owner which is sent to its manufacturer under the following condition: if owner has given consent,a security camera,video of owner,its manufacturer,if owner has given consent,iot
1489,a security camera records video of owner which is sent to its manufacturer under the following condition: if owner is notified,a security camera,video of owner,its manufacturer,if owner is notified,iot
1490,a security camera records video of owner which is sent to its manufacturer under the following condition: if the information is kept confidential,a security camera,video of owner,its manufacturer,if the information is kept confidential,iot
1491,a security camera records video of owner which is sent to its manufacturer under the following condition: if the information is anonymous,a security camera,video of owner,its manufacturer,if the information is anonymous,iot
1492,a security camera records video of owner which is sent to its manufacturer under the following condition: if the information is used to perform maintenance on the device,a security camera,video of owner,its manufacturer,if the information is used to perform maintenance on the device,iot
1493,a security camera records video of owner which is sent to its manufacturer under the following condition: if the information is used to provide a price discount,a security camera,video of owner,its manufacturer,if the information is used to provide a price discount,iot
1494,a security camera records video of owner which is sent to its manufacturer under the following condition: if the information is used for advertising,a security camera,video of owner,its manufacturer,if the information is used for advertising,iot
1495,a security camera records video of owner which is sent to its manufacturer under the following condition: if the information is used to develop new features for the device,a security camera,video of owner,its manufacturer,if the information is used to develop new features for the device,iot
1496,a security camera records video of owner which is sent to its manufacturer under the following condition: if the information is not stored,a security camera,video of owner,its manufacturer,if the information is not stored,iot
1497,a security camera records video of owner which is sent to its manufacturer under the following condition: if the information is stored indefinitely,a security camera,video of owner,its manufacturer,if the information is stored indefinitely,iot
1498,a security camera records video of owner which is sent to its manufacturer under the following condition: if its privacy policy permits it,a security camera,video of owner,its manufacturer,if its privacy policy permits it,iot
1499,a security camera records video of owner which is sent to its manufacturer under the following condition: in an emergency situation,a security camera,video of owner,its manufacturer,in an emergency situation,iot
1500,a security camera records video of owner which is sent to other devices in the home under the following condition: if owner has given consent,a security camera,video of owner,other devices in the home,if owner has given consent,iot
1501,a security camera records video of owner which is sent to other devices in the home under the following condition: if owner is notified,a security camera,video of owner,other devices in the home,if owner is notified,iot
1502,a security camera records video of owner which is sent to other devices in the home under the following condition: if the information is kept confidential,a security camera,video of owner,other devices in the home,if the information is kept confidential,iot
1503,a security camera records video of owner which is sent to other devices in the home under the following condition: if the information is anonymous,a security camera,video of owner,other devices in the home,if the information is anonymous,iot
1504,a security camera records video of owner which is sent to other devices in the home under the following condition: if the information is used to perform maintenance on the device,a security camera,video of owner,other devices in the home,if the information is used to perform maintenance on the device,iot
1505,a security camera records video of owner which is sent to other devices in the home under the following condition: if the information is used to provide a price discount,a security camera,video of owner,other devices in the home,if the information is used to provide a price discount,iot
1506,a security camera records video of owner which is sent to other devices in the home under the following condition: if the information is used for advertising,a security camera,video of owner,other devices in the home,if the information is used for advertising,iot
1507,a security camera records video of owner which is sent to other devices in the home under the following condition: if the information is used to develop new features for the device,a security camera,video of owner,other devices in the home,if the information is used to develop new features for the device,iot
1508,a security camera records video of owner which is sent to other devices in the home under the following condition: if the information is not stored,a security camera,video of owner,other devices in the home,if the information is not stored,iot
1509,a security camera records video of owner which is sent to other devices in the home under the following condition: if the information is stored indefinitely,a security camera,video of owner,other devices in the home,if the information is stored indefinitely,iot
1510,a security camera records video of owner which is sent to other devices in the home under the following condition: if its privacy policy permits it,a security camera,video of owner,other devices in the home,if its privacy policy permits it,iot
1511,a security camera records video of owner which is sent to other devices in the home under the following condition: in an emergency situation,a security camera,video of owner,other devices in the home,in an emergency situation,iot
1512,a security camera records video of owner which is sent to owner's immediate family under the following condition: if owner has given consent,a security camera,video of owner,owner's immediate family,if owner has given consent,iot
1513,a security camera records video of owner which is sent to owner's immediate family under the following condition: if owner is notified,a security camera,video of owner,owner's immediate family,if owner is notified,iot
1514,a security camera records video of owner which is sent to owner's immediate family under the following condition: if the information is kept confidential,a security camera,video of owner,owner's immediate family,if the information is kept confidential,iot
1515,a security camera records video of owner which is sent to owner's immediate family under the following condition: if the information is anonymous,a security camera,video of owner,owner's immediate family,if the information is anonymous,iot
1516,a security camera records video of owner which is sent to owner's immediate family under the following condition: if the information is used to perform maintenance on the device,a security camera,video of owner,owner's immediate family,if the information is used to perform maintenance on the device,iot
1517,a security camera records video of owner which is sent to owner's immediate family under the following condition: if the information is used to provide a price discount,a security camera,video of owner,owner's immediate family,if the information is used to provide a price discount,iot
1518,a security camera records video of owner which is sent to owner's immediate family under the following condition: if the information is used for advertising,a security camera,video of owner,owner's immediate family,if the information is used for advertising,iot
1519,a security camera records video of owner which is sent to owner's immediate family under the following condition: if the information is used to develop new features for the device,a security camera,video of owner,owner's immediate family,if the information is used to develop new features for the device,iot
1520,a security camera records video of owner which is sent to owner's immediate family under the following condition: if the information is not stored,a security camera,video of owner,owner's immediate family,if the information is not stored,iot
1521,a security camera records video of owner which is sent to owner's immediate family under the following condition: if the information is stored indefinitely,a security camera,video of owner,owner's immediate family,if the information is stored indefinitely,iot
1522,a security camera records video of owner which is sent to owner's immediate family under the following condition: if its privacy policy permits it,a security camera,video of owner,owner's immediate family,if its privacy policy permits it,iot
1523,a security camera records video of owner which is sent to owner's immediate family under the following condition: in an emergency situation,a security camera,video of owner,owner's immediate family,in an emergency situation,iot
1524,a security camera records video of owner which is sent to owner's social media accounts under the following condition: if owner has given consent,a security camera,video of owner,owner's social media accounts,if owner has given consent,iot
1525,a security camera records video of owner which is sent to owner's social media accounts under the following condition: if owner is notified,a security camera,video of owner,owner's social media accounts,if owner is notified,iot
1526,a security camera records video of owner which is sent to owner's social media accounts under the following condition: if the information is kept confidential,a security camera,video of owner,owner's social media accounts,if the information is kept confidential,iot
1527,a security camera records video of owner which is sent to owner's social media accounts under the following condition: if the information is anonymous,a security camera,video of owner,owner's social media accounts,if the information is anonymous,iot
1528,a security camera records video of owner which is sent to owner's social media accounts under the following condition: if the information is used to perform maintenance on the device,a security camera,video of owner,owner's social media accounts,if the information is used to perform maintenance on the device,iot
1529,a security camera records video of owner which is sent to owner's social media accounts under the following condition: if the information is used to provide a price discount,a security camera,video of owner,owner's social media accounts,if the information is used to provide a price discount,iot
1530,a security camera records video of owner which is sent to owner's social media accounts under the following condition: if the information is used for advertising,a security camera,video of owner,owner's social media accounts,if the information is used for advertising,iot
1531,a security camera records video of owner which is sent to owner's social media accounts under the following condition: if the information is used to develop new features for the device,a security camera,video of owner,owner's social media accounts,if the information is used to develop new features for the device,iot
1532,a security camera records video of owner which is sent to owner's social media accounts under the following condition: if the information is not stored,a security camera,video of owner,owner's social media accounts,if the information is not stored,iot
1533,a security camera records video of owner which is sent to owner's social media accounts under the following condition: if the information is stored indefinitely,a security camera,video of owner,owner's social media accounts,if the information is stored indefinitely,iot
1534,a security camera records video of owner which is sent to owner's social media accounts under the following condition: if its privacy policy permits it,a security camera,video of owner,owner's social media accounts,if its privacy policy permits it,iot
1535,a security camera records video of owner which is sent to owner's social media accounts under the following condition: in an emergency situation,a security camera,video of owner,owner's social media accounts,in an emergency situation,iot
1536,a security camera records owner's heart rate which is sent to the local police under the following condition: if owner has given consent,a security camera,owner's heart rate,the local police,if owner has given consent,iot
1537,a security camera records owner's heart rate which is sent to the local police under the following condition: if owner is notified,a security camera,owner's heart rate,the local police,if owner is notified,iot
1538,a security camera records owner's heart rate which is sent to the local police under the following condition: if the information is kept confidential,a security camera,owner's heart rate,the local police,if the information is kept confidential,iot
1539,a security camera records owner's heart rate which is sent to the local police under the following condition: if the information is anonymous,a security camera,owner's heart rate,the local police,if the information is anonymous,iot
1540,a security camera records owner's heart rate which is sent to the local police under the following condition: if the information is used to perform maintenance on the device,a security camera,owner's heart rate,the local police,if the information is used to perform maintenance on the device,iot
1541,a security camera records owner's heart rate which is sent to the local police under the following condition: if the information is used to provide a price discount,a security camera,owner's heart rate,the local police,if the information is used to provide a price discount,iot
1542,a security camera records owner's heart rate which is sent to the local police under the following condition: if the information is used for advertising,a security camera,owner's heart rate,the local police,if the information is used for advertising,iot
1543,a security camera records owner's heart rate which is sent to the local police under the following condition: if the information is used to develop new features for the device,a security camera,owner's heart rate,the local police,if the information is used to develop new features for the device,iot
1544,a security camera records owner's heart rate which is sent to the local police under the following condition: if the information is not stored,a security camera,owner's heart rate,the local police,if the information is not stored,iot
1545,a security camera records owner's heart rate which is sent to the local police under the following condition: if the information is stored indefinitely,a security camera,owner's heart rate,the local police,if the information is stored indefinitely,iot
1546,a security camera records owner's heart rate which is sent to the local police under the following condition: if its privacy policy permits it,a security camera,owner's heart rate,the local police,if its privacy policy permits it,iot
1547,a security camera records owner's heart rate which is sent to the local police under the following condition: in an emergency situation,a security camera,owner's heart rate,the local police,in an emergency situation,iot
1548,a security camera records owner's heart rate which is sent to government intelligence agencies under the following condition: if owner has given consent,a security camera,owner's heart rate,government intelligence agencies,if owner has given consent,iot
1549,a security camera records owner's heart rate which is sent to government intelligence agencies under the following condition: if owner is notified,a security camera,owner's heart rate,government intelligence agencies,if owner is notified,iot
1550,a security camera records owner's heart rate which is sent to government intelligence agencies under the following condition: if the information is kept confidential,a security camera,owner's heart rate,government intelligence agencies,if the information is kept confidential,iot
1551,a security camera records owner's heart rate which is sent to government intelligence agencies under the following condition: if the information is anonymous,a security camera,owner's heart rate,government intelligence agencies,if the information is anonymous,iot
