,vignette,recipient,source,duration,place,inference,type
127,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",a fitness app,a month,the mall,whether they are active in their political beliefs in attending protests,location3
128,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",a fitness app,a few days,the mall,whether they are active in their political beliefs in attending protests,location3
129,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",a fitness app,a few minutes,the mall,whether they are active in their political beliefs in attending protests,location3
130,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",a fitness app,a year,a liquor store,whether they have a drinking problem,location3
131,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",a fitness app,about six months,a liquor store,whether they have a drinking problem,location3
132,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",a fitness app,a month,a liquor store,whether they have a drinking problem,location3
133,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",a fitness app,a few days,a liquor store,whether they have a drinking problem,location3
134,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",a fitness app,a few minutes,a liquor store,whether they have a drinking problem,location3
135,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",a fitness app,a year,a shoe store,how susceptible they are to show ads,location3
136,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",a fitness app,about six months,a shoe store,how susceptible they are to show ads,location3
137,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",a fitness app,a month,a shoe store,how susceptible they are to show ads,location3
138,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",a fitness app,a few days,a shoe store,how susceptible they are to show ads,location3
139,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",a fitness app,a few minutes,a shoe store,how susceptible they are to show ads,location3
140,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",a fitness app,a year,home,how often they spend the nigh away from home,location3
141,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",a fitness app,about six months,home,how often they spend the nigh away from home,location3
142,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",a fitness app,a month,home,how often they spend the nigh away from home,location3
143,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",a fitness app,a few days,home,how often they spend the nigh away from home,location3
144,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",a fitness app,a few minutes,home,how often they spend the nigh away from home,location3
145,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",a fitness app,a year,work,whether they are dedicated workers,location3
146,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",a fitness app,about six months,work,whether they are dedicated workers,location3
147,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",a fitness app,a month,work,whether they are dedicated workers,location3
148,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",a fitness app,a few days,work,whether they are dedicated workers,location3
149,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",a fitness app,a few minutes,work,whether they are dedicated workers,location3
150,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",a fitness app,a year,a medical clinic,whether they have a chronic illness,location3
151,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",a fitness app,about six months,a medical clinic,whether they have a chronic illness,location3
152,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",a fitness app,a month,a medical clinic,whether they have a chronic illness,location3
153,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",a fitness app,a few days,a medical clinic,whether they have a chronic illness,location3
154,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",a fitness app,a few minutes,a medical clinic,whether they have a chronic illness,location3
155,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",a fitness app,a year,a voting site,how regularly they vote,location3
156,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",a fitness app,about six months,a voting site,how regularly they vote,location3
157,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",a fitness app,a month,a voting site,how regularly they vote,location3
158,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",a fitness app,a few days,a voting site,how regularly they vote,location3
159,"a city emergency services (e.g., ambulance, fire) acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",a fitness app,a few minutes,a voting site,how regularly they vote,location3
160,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,a restaurant or a cafe,who your friends are,location3
161,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,a restaurant or a cafe,who your friends are,location3
162,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,a restaurant or a cafe,who your friends are,location3
163,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,a restaurant or a cafe,who your friends are,location3
164,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,a restaurant or a cafe,who your friends are,location3
165,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,the mall,whether they are active in their political beliefs in attending protests,location3
166,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,the mall,whether they are active in their political beliefs in attending protests,location3
167,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,the mall,whether they are active in their political beliefs in attending protests,location3
168,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,the mall,whether they are active in their political beliefs in attending protests,location3
169,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,the mall,whether they are active in their political beliefs in attending protests,location3
170,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,a liquor store,whether they have a drinking problem,location3
171,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,a liquor store,whether they have a drinking problem,location3
172,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,a liquor store,whether they have a drinking problem,location3
173,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,a liquor store,whether they have a drinking problem,location3
174,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,a liquor store,whether they have a drinking problem,location3
175,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,a shoe store,how susceptible they are to show ads,location3
176,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,a shoe store,how susceptible they are to show ads,location3
177,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,a shoe store,how susceptible they are to show ads,location3
178,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,a shoe store,how susceptible they are to show ads,location3
179,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,a shoe store,how susceptible they are to show ads,location3
180,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,home,how often they spend the nigh away from home,location3
181,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,home,how often they spend the nigh away from home,location3
182,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,home,how often they spend the nigh away from home,location3
183,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,home,how often they spend the nigh away from home,location3
184,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,home,how often they spend the nigh away from home,location3
185,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,work,whether they are dedicated workers,location3
186,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,work,whether they are dedicated workers,location3
187,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,work,whether they are dedicated workers,location3
188,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,work,whether they are dedicated workers,location3
189,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,work,whether they are dedicated workers,location3
190,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,a medical clinic,whether they have a chronic illness,location3
191,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,a medical clinic,whether they have a chronic illness,location3
192,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,a medical clinic,whether they have a chronic illness,location3
193,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,a medical clinic,whether they have a chronic illness,location3
194,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,a medical clinic,whether they have a chronic illness,location3
195,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a year,a voting site,how regularly they vote,location3
196,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,about six months,a voting site,how regularly they vote,location3
197,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a month,a voting site,how regularly they vote,location3
198,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few days,a voting site,how regularly they vote,location3
199,"a city emergency services (e.g., ambulance, fire) acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",from geo-tagged posts from social media,a few minutes,a voting site,how regularly they vote,location3
200,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,a restaurant or a cafe,who your friends are,location3
201,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,a restaurant or a cafe,who your friends are,location3
202,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,a restaurant or a cafe,who your friends are,location3
203,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,a restaurant or a cafe,who your friends are,location3
204,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,a restaurant or a cafe,who your friends are,location3
205,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,the mall,whether they are active in their political beliefs in attending protests,location3
206,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,the mall,whether they are active in their political beliefs in attending protests,location3
207,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,the mall,whether they are active in their political beliefs in attending protests,location3
208,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,the mall,whether they are active in their political beliefs in attending protests,location3
209,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,the mall,whether they are active in their political beliefs in attending protests,location3
210,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,a liquor store,whether they have a drinking problem,location3
211,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,a liquor store,whether they have a drinking problem,location3
212,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,a liquor store,whether they have a drinking problem,location3
213,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,a liquor store,whether they have a drinking problem,location3
214,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,a liquor store,whether they have a drinking problem,location3
215,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,a shoe store,how susceptible they are to show ads,location3
216,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,a shoe store,how susceptible they are to show ads,location3
217,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,a shoe store,how susceptible they are to show ads,location3
218,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,a shoe store,how susceptible they are to show ads,location3
219,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,a shoe store,how susceptible they are to show ads,location3
220,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,home,how often they spend the nigh away from home,location3
221,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,home,how often they spend the nigh away from home,location3
222,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,home,how often they spend the nigh away from home,location3
223,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,home,how often they spend the nigh away from home,location3
224,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at home and how often they spend the nigh away from home","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,home,how often they spend the nigh away from home,location3
225,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,work,whether they are dedicated workers,location3
226,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,work,whether they are dedicated workers,location3
227,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,work,whether they are dedicated workers,location3
228,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,work,whether they are dedicated workers,location3
229,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at work and whether they are dedicated workers","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,work,whether they are dedicated workers,location3
230,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,a medical clinic,whether they have a chronic illness,location3
231,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,a medical clinic,whether they have a chronic illness,location3
232,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,a medical clinic,whether they have a chronic illness,location3
233,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",a mapping app,a few days,a medical clinic,whether they have a chronic illness,location3
234,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness","a city emergency services (e.g., ambulance, fire)",a mapping app,a few minutes,a medical clinic,whether they have a chronic illness,location3
235,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",a mapping app,a year,a voting site,how regularly they vote,location3
236,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",a mapping app,about six months,a voting site,how regularly they vote,location3
237,"a city emergency services (e.g., ambulance, fire) acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a voting site and how regularly they vote","a city emergency services (e.g., ambulance, fire)",a mapping app,a month,a voting site,how regularly they vote,location3
